year,month,day,log_consumption,inflation,scaled_leisure_pct,log_rdi,log_nonconsumption,ffr,cci,log_consumption_1,inflation_1,scaled_leisure_pct_1,log_rdi_1,log_nonconsumption_1,ffr_1,cci_1,log_consumption_2,inflation_2,scaled_leisure_pct_2,log_rdi_2,log_nonconsumption_2,ffr_2,cci_2,log_consumption_3,inflation_3,scaled_leisure_pct_3,log_rdi_3,log_nonconsumption_3,ffr_3,cci_3
1969,7,1,9.9279604,.013282153,.6540525,10.107345,9.5950994,.021498548,4.6279097,9.9256716,.012681321,.65451944,10.090685,9.5936031,.020002984,4.6210437,9.9207602,.010727122,.65462524,10.083801,9.6024647,.015907966,4.6131382,9.9156694,.010530856,.65558028,10.086242,9.5833921,.014378477,4.5736794
1969,10,1,9.9336681,.011757129,.6554085,10.110329,9.5647078,.02140677,4.6356993,9.9279604,.013282153,.6540525,10.107345,9.5950994,.021498548,4.6279097,9.9256716,.012681321,.65451944,10.090685,9.5936031,.020002984,4.6210437,9.9207602,.010727122,.65462524,10.083801,9.6024647,.015907966,4.6131382
1970,1,1,9.9384623,.01312286,.65807271,10.114866,9.5405054,.020533208,4.6434288,9.9336681,.011757129,.6554085,10.110329,9.5647078,.02140677,4.6356993,9.9279604,.013282153,.6540525,10.107345,9.5950994,.021498548,4.6279097,9.9256716,.012681321,.65451944,10.090685,9.5936031,.020002984,4.6210437
1970,4,1,9.9372406,.011602071,.66224205,10.121224,9.5334406,.018962329,4.6161103,9.9384623,.01312286,.65807271,10.114866,9.5405054,.020533208,4.6434288,9.9336681,.011757129,.6554085,10.110329,9.5647078,.02140677,4.6356993,9.9279604,.013282153,.6540525,10.107345,9.5950994,.021498548,4.6279097
1970,7,1,9.9415359,.0095889689,.66617584,10.131074,9.5348377,.016236173,4.623992,9.9372406,.011602071,.66224205,10.121224,9.5334406,.018962329,4.6161103,9.9384623,.01312286,.65807271,10.114866,9.5405054,.020533208,4.6434288,9.9336681,.011757129,.6554085,10.110329,9.5647078,.02140677,4.6356993
1970,10,1,9.9428339,.012934594,.6682083,10.122688,9.4918442,.013551014,4.6539602,9.9415359,.0095889689,.66617584,10.131074,9.5348377,.016236173,4.623992,9.9372406,.011602071,.66224205,10.121224,9.5334406,.018962329,4.6161103,9.9384623,.01312286,.65807271,10.114866,9.5405054,.020533208,4.6434288
1971,1,1,9.9432335,.0082042115,.66989577,10.136978,9.5439548,.009468413,4.6298628,9.9428339,.012934594,.6682083,10.122688,9.4918442,.013551014,4.6539602,9.9415359,.0095889689,.66617584,10.131074,9.5348377,.016236173,4.623992,9.9372406,.011602071,.66224205,10.121224,9.5334406,.018962329,4.6161103
1971,4,1,9.945117,.011318403,.67060256,10.145763,9.5411482,.01117163,4.6259527,9.9432335,.0082042115,.66989577,10.136978,9.5439548,.009468413,4.6298628,9.9428339,.012934594,.6682083,10.122688,9.4918442,.013551014,4.6539602,9.9415359,.0095889689,.66617584,10.131074,9.5348377,.016236173,4.623992
1971,7,1,9.9453478,.010951886,.67058575,10.145547,9.5464239,.013337794,4.6249728,9.945117,.011318403,.67060256,10.145763,9.5411482,.01117163,4.6259527,9.9432335,.0082042115,.66989577,10.136978,9.5439548,.009468413,4.6298628,9.9428339,.012934594,.6682083,10.122688,9.4918442,.013551014,4.6539602
1971,10,1,9.9525127,.0075175012,.66882515,10.151482,9.5287132,.011601593,4.5726471,9.9453478,.010951886,.67058575,10.145547,9.5464239,.013337794,4.6249728,9.945117,.011318403,.67060256,10.145763,9.5411482,.01117163,4.6259527,9.9432335,.0082042115,.66989577,10.136978,9.5439548,.009468413,4.6298628
1972,1,1,9.9537668,.0096428087,.66789484,10.144779,9.5432024,.0087211002,4.6386051,9.9525127,.0075175012,.66882515,10.151482,9.5287132,.011601593,4.5726471,9.9453478,.010951886,.67058575,10.145547,9.5464239,.013337794,4.6249728,9.945117,.011318403,.67060256,10.145763,9.5411482,.01117163,4.6259527
